         24480015 function calls (24477670 primitive calls) in 22.637 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        2    0.000    0.000    0.000    0.000 enum.py:654(<listcomp>)
       60    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 _methods.py:5(<module>)
       62    0.000    0.000    0.000    0.000 _inspect.py:146(<lambda>)
       13    0.000    0.000    0.000    0.000 mixins.py:48(_numeric_methods)
        1    0.000    0.000    0.000    0.000 threading.py:1174(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:332(__init__)
      101    0.000    0.000    0.000    0.000 _inspect.py:133(strseq)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:7(<module>)
        1    0.000    0.000    0.000    0.000 enum.py:793(_missing_)
       12    0.000    0.000    0.000    0.000 enum.py:442(_get_mixins_)
        6    0.000    0.000    0.000    0.000 numeric.py:2656(seterr)
        1    0.000    0.000    0.000    0.000 token.py:78(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:643(BufferingFormatter)
       28    0.000    0.000    0.000    0.000 sre_parse.py:408(_uniq)
        2    0.000    0.000    0.000    0.000 os.py:687(__delitem__)
        1    0.000    0.000    0.000    0.000 enum.py:800(_create_pseudo_member_)
        1    0.000    0.000    0.000    0.000 nosetester.py:6(<module>)
        1    0.000    0.000    0.000    0.000 core.py:3080(view)
      133    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 histograms.py:3(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
      213    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       47    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        8    0.000    0.000    0.000    0.000 warnings.py:181(_add_filter)
        8    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
       13    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
       72    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
       76    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
        1    0.000    0.000    0.000    0.000 linalg.py:82(_determine_error_states)
        8    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
       78    0.000    0.000    0.000    0.000 _internal.py:851(<genexpr>)
       17    0.000    0.000    0.000    0.000 sre_parse.py:343(_escape)
        1    0.000    0.000    0.000    0.000 arraysetops.py:27(<module>)
        2    0.000    0.000    0.000    0.000 os.py:729(<lambda>)
